Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            17363675            462.19
5'UTR_Exons         41438250            2757091             66.53
3'UTR_Exons         53952753            5040965             93.43
Introns             1105253088          1079627             0.98
TSS_up_1kb          25691519            19094               0.74
TSS_up_5kb          116205471           48014               0.41
TSS_up_10kb         209873182           64849               0.31
TES_down_1kb        28222917            100284              3.55
TES_down_5kb        121418918           168332              1.39
TES_down_10kb       214350577           207137              0.97
