Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            6740968             179.43
5'UTR_Exons         41438250            1002595             24.19
3'UTR_Exons         53952753            2559755             47.44
Introns             1105253088          666718              0.60
TSS_up_1kb          25691519            10628               0.41
TSS_up_5kb          116205471           26830               0.23
TSS_up_10kb         209873182           34781               0.17
TES_down_1kb        28222917            63847               2.26
TES_down_5kb        121418918           91660               0.75
TES_down_10kb       214350577           110592              0.52
