Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            14914310            396.99
5'UTR_Exons         41438250            2439053             58.86
3'UTR_Exons         53952753            5006743             92.80
Introns             1105253088          1040438             0.94
TSS_up_1kb          25691519            16555               0.64
TSS_up_5kb          116205471           44743               0.39
TSS_up_10kb         209873182           60605               0.29
TES_down_1kb        28222917            145652              5.16
TES_down_5kb        121418918           206229              1.70
TES_down_10kb       214350577           243685              1.14
