Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            11597904            308.71
5'UTR_Exons         41438250            2080869             50.22
3'UTR_Exons         53952753            4462047             82.70
Introns             1105253088          1054637             0.95
TSS_up_1kb          25691519            15582               0.61
TSS_up_5kb          116205471           40875               0.35
TSS_up_10kb         209873182           54657               0.26
TES_down_1kb        28222917            252619              8.95
TES_down_5kb        121418918           302297              2.49
TES_down_10kb       214350577           344718              1.61
