Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            12247792            326.01
5'UTR_Exons         41438250            2257240             54.47
3'UTR_Exons         53952753            4828859             89.50
Introns             1105253088          1212050             1.10
TSS_up_1kb          25691519            18394               0.72
TSS_up_5kb          116205471           49710               0.43
TSS_up_10kb         209873182           65767               0.31
TES_down_1kb        28222917            221711              7.86
TES_down_5kb        121418918           272407              2.24
TES_down_10kb       214350577           312449              1.46
