Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            15549276            413.89
5'UTR_Exons         41438250            2533302             61.13
3'UTR_Exons         53952753            5250011             97.31
Introns             1105253088          1406023             1.27
TSS_up_1kb          25691519            23608               0.92
TSS_up_5kb          116205471           58884               0.51
TSS_up_10kb         209873182           77485               0.37
TES_down_1kb        28222917            112128              3.97
TES_down_5kb        121418918           184076              1.52
TES_down_10kb       214350577           223708              1.04
