Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            9636622             256.51
5'UTR_Exons         41438250            1480395             35.73
3'UTR_Exons         53952753            3584029             66.43
Introns             1105253088          1224012             1.11
TSS_up_1kb          25691519            14545               0.57
TSS_up_5kb          116205471           37318               0.32
TSS_up_10kb         209873182           49615               0.24
TES_down_1kb        28222917            151981              5.39
TES_down_5kb        121418918           190641              1.57
TES_down_10kb       214350577           225214              1.05
